Device: Apple iPhone9,3; eSense app version: 4.3.3; ios version: 11.3.1;
BESCHREIBUNG;WERT
NAME MESSUNG;Messung-20112019-121614;;;;
DATUM (SS:MM:SS);20.11.19 12:16:14;;;;
ZEIT (SS:MM:SS);00:02:31;;;;
MAXIMUM;4,36 µS;;;;
MINIMUM;0,45 µS;;;;
DIFFERENZ MIN/MAX;3,91 µS;;;;
DURCHSCHNITT SESSION;3,36 µS;;;;
ZUNAHME (SS:MM:SS);00:00:23;;;;
STETIG (SS:MM:SS);00:00:00;;;;
ABNAHME (SS:MM:SS);00:02:08;;;;
;;;;;
GESAMT SCR;5;;;;
% SCR DER SITZUNG;21,0%;;;;
0-5 SCR/MIN (SS:MM:SS);00:02:40;;;;
6-9 SCR/MIN (SS:MM:SS);00:00:00;;;;
10-15 SCR/MIN (SS:MM:SS);00:00:00;;;;
>16 SCR/MIN (SS:MM:SS);00:00:00;;;;
;;;;;
;;;;;
STATISTIK;;;;;
SEKUNDE;MIKROSIEMENS;ZEITSTEMPEL;SCR;SCR/MIN;MARKIERUNG
0,0;3,31;12:16:14:519;0;0;
0,2;3,32;12:16:14:719;0;0;
0,4;3,33;12:16:14:919;0;0;
0,6;3,33;12:16:15:119;0;0;
0,8;3,34;12:16:15:319;0;0;
1,0;3,34;12:16:15:519;0;0;
1,2;3,34;12:16:15:719;0;0;
1,4;3,34;12:16:15:919;0;0;
1,6;3,35;12:16:16:119;0;0;
1,8;3,35;12:16:16:319;0;0;
2,0;3,35;12:16:16:519;0;0;
2,2;3,35;12:16:16:719;0;0;
2,4;3,35;12:16:16:919;0;0;
2,6;3,35;12:16:17:119;0;0;
2,8;3,35;12:16:17:319;0;0;
3,0;3,35;12:16:17:519;0;0;
3,2;3,34;12:16:17:719;0;0;
3,4;3,34;12:16:17:919;0;0;
3,6;3,34;12:16:18:119;0;0;
3,8;3,34;12:16:18:319;0;0;
4,0;3,34;12:16:18:519;0;0;
4,2;3,34;12:16:18:719;0;0;
4,4;3,34;12:16:18:919;0;0;
4,6;3,34;12:16:19:119;0;0;
4,8;3,35;12:16:19:319;0;0;
5,0;3,35;12:16:19:519;0;0;
5,2;3,35;12:16:19:719;0;0;
5,4;3,36;12:16:19:919;0;0;
5,6;3,36;12:16:20:119;0;0;
5,8;3,37;12:16:20:319;0;0;
6,0;3,37;12:16:20:519;0;0;
6,2;3,38;12:16:20:719;0;0;
6,4;3,38;12:16:20:919;0;0;
6,6;3,38;12:16:21:119;0;0;
6,8;3,38;12:16:21:319;0;0;
7,0;3,38;12:16:21:519;0;0;
7,2;3,38;12:16:21:719;0;0;
7,4;3,38;12:16:21:919;0;0;
7,6;3,38;12:16:22:119;0;0;
7,8;3,38;12:16:22:319;0;0;
8,0;3,38;12:16:22:519;0;0;
8,2;3,37;12:16:22:719;0;0;
8,4;3,37;12:16:22:919;0;0;
8,6;3,37;12:16:23:119;0;0;
8,8;3,37;12:16:23:319;0;0;
9,0;3,36;12:16:23:519;0;0;
9,2;3,36;12:16:23:719;0;0;
9,4;3,36;12:16:23:919;0;0;
9,6;3,36;12:16:24:119;0;0;
9,8;3,37;12:16:24:319;0;0;
10,0;3,37;12:16:24:519;0;0;
10,2;3,38;12:16:24:719;0;0;
10,4;3,38;12:16:24:919;0;0;
10,6;3,38;12:16:25:119;0;0;
10,8;3,39;12:16:25:319;0;0;
11,0;3,39;12:16:25:519;0;0;
11,2;3,39;12:16:25:719;0;0;
11,4;3,39;12:16:25:919;0;0;
11,6;3,39;12:16:26:119;0;0;
11,8;3,39;12:16:26:319;0;0;
12,0;3,39;12:16:26:519;0;0;
12,2;3,39;12:16:26:719;0;0;
12,4;3,39;12:16:26:919;0;0;
12,6;3,39;12:16:27:119;0;0;
12,8;3,39;12:16:27:319;0;0;
13,0;3,38;12:16:27:519;0;0;
13,2;3,38;12:16:27:719;0;0;
13,4;3,38;12:16:27:919;0;0;
13,6;3,37;12:16:28:119;0;0;
13,8;3,37;12:16:28:319;0;0;
14,0;3,37;12:16:28:519;0;0;
14,2;3,36;12:16:28:719;0;0;
14,4;3,36;12:16:28:919;0;0;
14,6;3,36;12:16:29:119;0;0;
14,8;3,36;12:16:29:319;0;0;
15,0;3,35;12:16:29:519;0;0;
15,2;3,35;12:16:29:719;0;0;
15,4;3,35;12:16:29:919;0;0;
15,6;3,35;12:16:30:119;0;0;
15,8;3,34;12:16:30:319;0;0;
16,0;3,34;12:16:30:519;0;0;
16,2;3,34;12:16:30:719;0;0;
16,4;3,34;12:16:30:919;0;0;
16,6;3,33;12:16:31:119;0;0;
16,8;3,33;12:16:31:319;0;0;
17,0;3,33;12:16:31:519;0;0;
17,2;3,33;12:16:31:719;0;0;
17,4;3,32;12:16:31:919;0;0;
17,6;3,32;12:16:32:119;0;0;
17,8;3,32;12:16:32:319;0;0;
18,0;3,32;12:16:32:519;0;0;
18,2;3,31;12:16:32:719;0;0;
18,4;3,31;12:16:32:919;0;0;
18,6;3,31;12:16:33:119;0;0;
18,8;3,31;12:16:33:319;0;0;
19,0;3,31;12:16:33:519;0;0;
19,2;3,30;12:16:33:719;0;0;
19,4;3,30;12:16:33:919;0;0;
19,6;3,30;12:16:34:119;0;0;
19,8;3,30;12:16:34:319;0;0;
20,0;3,29;12:16:34:519;0;0;
20,2;3,29;12:16:34:719;0;0;
20,4;3,29;12:16:34:919;0;0;
20,6;3,29;12:16:35:119;0;0;
20,8;3,28;12:16:35:319;0;0;
21,0;3,28;12:16:35:519;0;0;
21,2;3,28;12:16:35:719;0;0;
21,4;3,28;12:16:35:919;0;0;
21,6;3,27;12:16:36:119;0;0;
21,8;3,27;12:16:36:319;0;0;
22,0;3,27;12:16:36:519;0;0;
22,2;3,27;12:16:36:719;0;0;
22,4;3,27;12:16:36:919;0;0;
22,6;3,26;12:16:37:119;0;0;
22,8;3,26;12:16:37:319;0;0;
23,0;3,26;12:16:37:519;0;0;
23,2;3,26;12:16:37:719;0;0;
23,4;3,26;12:16:37:919;0;0;
23,6;3,26;12:16:38:119;0;0;
23,8;3,26;12:16:38:319;0;0;
24,0;3,26;12:16:38:519;0;0;
24,2;3,26;12:16:38:719;0;0;
24,4;3,25;12:16:38:919;0;0;
24,6;3,25;12:16:39:119;0;0;
24,8;3,25;12:16:39:319;0;0;
25,0;3,25;12:16:39:519;0;0;
25,2;3,25;12:16:39:719;0;0;
25,4;3,25;12:16:39:919;0;0;
25,6;3,24;12:16:40:119;0;0;
25,8;3,24;12:16:40:319;0;0;
26,0;3,24;12:16:40:519;0;0;
26,2;3,24;12:16:40:719;0;0;
26,4;3,24;12:16:40:919;0;0;
26,6;3,24;12:16:41:119;0;0;
26,8;3,24;12:16:41:319;0;0;
27,0;3,23;12:16:41:519;0;0;
27,2;3,23;12:16:41:719;0;0;
27,4;3,23;12:16:41:919;0;0;
27,6;3,23;12:16:42:119;0;0;
27,8;3,23;12:16:42:319;0;0;
28,0;3,22;12:16:42:519;0;0;
28,2;3,22;12:16:42:719;0;0;
28,4;3,22;12:16:42:919;0;0;
28,6;3,22;12:16:43:119;0;0;
28,8;3,22;12:16:43:319;0;0;
29,0;3,22;12:16:43:519;0;0;
29,2;3,21;12:16:43:719;0;0;
29,4;3,21;12:16:43:919;0;0;
29,6;3,21;12:16:44:119;0;0;
29,8;3,21;12:16:44:319;0;0;
30,0;3,21;12:16:44:519;0;0;
30,2;3,21;12:16:44:719;0;0;
30,4;3,21;12:16:44:919;0;0;
30,6;3,20;12:16:45:119;0;0;
30,8;3,20;12:16:45:319;0;0;
31,0;3,20;12:16:45:519;0;0;
31,2;3,20;12:16:45:719;0;0;
31,4;3,20;12:16:45:919;0;0;
31,6;3,19;12:16:46:119;0;0;
31,8;3,19;12:16:46:319;0;0;
32,0;3,19;12:16:46:519;0;0;
32,2;3,19;12:16:46:719;0;0;
32,4;3,19;12:16:46:919;0;0;
32,6;3,19;12:16:47:119;0;0;
32,8;3,19;12:16:47:319;0;0;
33,0;3,19;12:16:47:519;0;0;
33,2;3,18;12:16:47:719;0;0;
33,4;3,18;12:16:47:919;0;0;
33,6;3,18;12:16:48:119;0;0;
33,8;3,18;12:16:48:319;0;0;
34,0;3,18;12:16:48:519;0;0;
34,2;3,18;12:16:48:719;0;0;
34,4;3,18;12:16:48:919;0;0;
34,6;3,19;12:16:49:119;0;0;
34,8;3,20;12:16:49:319;0;0;
35,0;3,21;12:16:49:519;0;0;
35,2;3,22;12:16:49:719;0;0;
35,4;3,23;12:16:49:919;0;0;
35,6;3,25;12:16:50:119;0;0;
35,8;3,26;12:16:50:319;0;0;
36,0;3,27;12:16:50:519;0;0;
36,2;3,28;12:16:50:719;0;0;
36,4;3,29;12:16:50:919;0;0;
36,6;3,29;12:16:51:119;0;0;
36,8;3,30;12:16:51:319;0;0;
37,0;3,30;12:16:51:519;0;0;
37,2;3,31;12:16:51:719;0;0;
37,4;3,31;12:16:51:919;0;0;
37,6;3,31;12:16:52:119;0;0;
37,8;3,31;12:16:52:319;0;0;
38,0;3,31;12:16:52:519;0;0;
38,2;3,31;12:16:52:719;0;0;
38,4;3,32;12:16:52:919;0;0;
38,6;3,32;12:16:53:119;1;0;
38,8;3,32;12:16:53:319;1;0;
